temperature,package,preservative,sterilization,target
6997.165137614679,6997.165137614679,6997.165137614679,6997.165137614679,1
3499.0825688073396,3499.0825688073396,6997.165137614679,3499.0825688073396,1
2333.0550458715597,2333.0550458715597,3499.0825688073396,2333.0550458715597,1
1750.0412844036698,1750.0412844036698,2333.0550458715597,1750.0412844036698,100
1420.0330275229358,1420.0330275229358,1774.7912844036698,1420.0330275229358,1
1183.5275229357799,1183.5275229357799,3499.0825688073396,1183.5275229357799,1
1014.5950196592399,6997.165137614679,2333.0550458715597,1014.5950196592399,1
887.8956422018349,3499.0825688073396,1750.0412844036698,887.8956422018349,1
789.3516819571865,1014.5950196592399,1400.2330275229358,789.3516819571865,1
710.5165137614679,2333.0550458715597,1167.0275229357799,710.5165137614679,1000
736.8331943286072,887.8956422018349,1143.1664482306685,736.8331943286072,1
675.5137614678899,1999.7912844036698,1000.3956422018349,675.5137614678899,100
631.2434721242062,1619.833027522936,900.3516819571865,631.2434721242062,100
593.29750982962,1366.52752293578,820.3165137614681,593.29750982962,1000
620.411009174312,1314.1664482306685,836.6513761467891,620.411009174312,1000
644.1353211009175,789.3516819571865,850.26376146789,644.1353211009175,1
6997.165137614679,1274.895642201835,784.9357798165139,606.303831624393,1
3499.0825688073396,710.5165137614679,6997.165137614679,572.6758409785933,100
2366.0550458715597,655.0150125104254,728.9403669724771,547.7981651376148,1
606.303831624393,600.5137614678899,680.411009174312,520.458256880734,1
572.6758409785933,6997.165137614679,637.9478211009175,495.72214941022287,1
542.5876388218253,3499.0825688073396,6997.165137614679,473.23477898248547,100
6997.165137614679,2366.0550458715597,600.4803022126282,457.00717989629044,1
3499.0825688073396,1774.7912844036698,567.1758409785933,6997.165137614679,10000
5666.05504587156,3419.833027522936,1063.6402704007726,6997.165137614679,10000
520.458256880734,554.3973182780522,1510.458256880734,438.006880733945,1
495.72214941022287,4516.52752293578,1438.5792922673656,420.5266055045872,100
477.73477898248547,1133.3516819571867,1377.7347789824855,408.1986591390262,100
461.3115277223774,1030.016513761468,1322.1810929397686,396.78389398572887,100
446.256880733945,945.4695579649709,1271.256880733945,386.1844692005243,100
432.4066055045872,514.8689384010485,1224.406605504587,376.3160392280924,1
415.81404375441076,875.01376146789,1177.3525052928724,363.805504587156,100
404.11722731906224,815.3973182780524,1137.4505606523956,355.29564960047355,100
393.25589777195285,3885.59501965924,1100.39875491481,347.31766055045875,1000
414.17810819360966,764.29750982962,1096.9367288832648,367.0959132610509,1
400.40550458715603,713.411009174312,1060.405504587156,356.3283864004318,100
390.71500443918325,480.61100917431196,1029.4246818585382,349.0047182175623,1
378.53641055045875,675.0728211009175,997.2864105504588,339.33792048929666,1
367.0959132610509,635.4214786832165,967.0959132610509,330.1936523679643,100
359.2401511063141,605.6758409785933,941.5930922827847,324.1359246740705,100
351.8332896461337,3524.895642201835,917.5475753604194,318.3888496824277,1
342.08792048929666,3133.351681957187,892.0879204892967,310.454128440367,1
332.86932804364,2820.116513761468,868.0044631787752,302.90646677108975,1
