intercept,package_0,package_1,preservative_0,preservative_1,preservative_2,preservative_3,sterilization_0,sterilization_1,sterilization_2,temperature_0,temperature_1,target
1,-0.7071067811865476,0.4082482904638631,-0.632455532033676,0.5345224838248487,-0.3162277660168377,0.11952286093343938,-0.6708203932499369,0.5,-0.223606797749979,-0.7071067811865476,0.4082482904638631,1
1,-0.7071067811865476,0.4082482904638631,-0.3162277660168379,-0.26726124191242456,0.6324555320336758,-0.47809144373375795,-0.6708203932499369,0.5,-0.223606797749979,-0.7071067811865476,0.4082482904638631,1
1,-0.7071067811865476,0.4082482904638631,-0.3162277660168379,-0.26726124191242456,0.6324555320336758,-0.47809144373375795,-0.6708203932499369,0.5,-0.223606797749979,-0.7071067811865476,0.4082482904638631,1
1,-0.7071067811865476,0.4082482904638631,-0.3162277660168379,-0.26726124191242456,0.6324555320336758,-0.47809144373375795,-0.6708203932499369,0.5,-0.223606797749979,-0.7071067811865476,0.4082482904638631,100
1,-0.7071067811865476,0.4082482904638631,-0.3162277660168379,-0.26726124191242456,0.6324555320336758,-0.47809144373375795,-0.6708203932499369,0.5,-0.223606797749979,-0.7071067811865476,0.4082482904638631,1
1,-0.7071067811865476,0.4082482904638631,-0.632455532033676,0.5345224838248487,-0.3162277660168377,0.11952286093343938,-0.6708203932499369,0.5,-0.223606797749979,-0.7071067811865476,0.4082482904638631,1
1,-4.433780064975707e-17,-0.816496580927726,-0.632455532033676,0.5345224838248487,-0.3162277660168377,0.11952286093343938,-0.6708203932499369,0.5,-0.223606797749979,-0.7071067811865476,0.4082482904638631,1
1,-4.433780064975707e-17,-0.816496580927726,-0.632455532033676,0.5345224838248487,-0.3162277660168377,0.11952286093343938,-0.6708203932499369,0.5,-0.223606797749979,-0.7071067811865476,0.4082482904638631,1
1,-0.7071067811865476,0.4082482904638631,-0.632455532033676,0.5345224838248487,-0.3162277660168377,0.11952286093343938,-0.6708203932499369,0.5,-0.223606797749979,-0.7071067811865476,0.4082482904638631,1
1,-4.433780064975707e-17,-0.816496580927726,-0.632455532033676,0.5345224838248487,-0.3162277660168377,0.11952286093343938,-0.6708203932499369,0.5,-0.223606797749979,-0.7071067811865476,0.4082482904638631,1000
1,-0.7071067811865476,0.4082482904638631,-0.632455532033676,0.5345224838248487,-0.3162277660168377,0.11952286093343938,-0.6708203932499369,0.5,-0.223606797749979,-0.7071067811865476,0.4082482904638631,1
1,-4.433780064975707e-17,-0.816496580927726,-0.632455532033676,0.5345224838248487,-0.3162277660168377,0.11952286093343938,-0.6708203932499369,0.5,-0.223606797749979,-0.7071067811865476,0.4082482904638631,100
1,-4.433780064975707e-17,-0.816496580927726,-0.632455532033676,0.5345224838248487,-0.3162277660168377,0.11952286093343938,-0.6708203932499369,0.5,-0.223606797749979,-0.7071067811865476,0.4082482904638631,100
1,-4.433780064975707e-17,-0.816496580927726,-0.632455532033676,0.5345224838248487,-0.3162277660168377,0.11952286093343938,-0.6708203932499369,0.5,-0.223606797749979,-0.7071067811865476,0.4082482904638631,1000
1,-4.433780064975707e-17,-0.816496580927726,-0.632455532033676,0.5345224838248487,-0.3162277660168377,0.11952286093343938,-0.6708203932499369,0.5,-0.223606797749979,-0.7071067811865476,0.4082482904638631,1000
1,-0.7071067811865476,0.4082482904638631,-0.632455532033676,0.5345224838248487,-0.3162277660168377,0.11952286093343938,-0.6708203932499369,0.5,-0.223606797749979,-0.7071067811865476,0.4082482904638631,1
